27.03  12:40:24 ;0;0;0;0;27.03  14:44:21 ;0;0;0;0;
27.03  15:12:21 ;0;0;0;0;
27.03  15:40:21 ;0;0;0;0;
27.03  16:08:21 ;0;0;0;0;
27.03  16:36:21 ;0;0;0;0;
27.03  17:04:21 ;0;0;0;0;
27.03  17:32:21 ;0;0;0;0;
02.04  10:42:25 ;0;0;0;0;
02.04  11:10:25 ;0;0;0;0;
02.04  11:38:25 ;0;0;0;0;
02.04  12:06:25 ;0;0;0;0;
02.04  12:34:25 ;0;0;0;0;
02.04  13:02:25 ;0;0;0;0;
02.04  13:30:25 ;0;0;0;0;
02.04  14:43:54 ;0;0;0;0;
02.04  15:11:54 ;0;0;0;0;
02.04  15:39:54 ;0;0;0;0;
02.04  16:07:54 ;0;0;0;0;
02.04  16:35:54 ;0;0;0;0;
02.04  17:03:54 ;0;0;0;0;
02.04  17:31:54 ;0;0;0;0;
02.04  17:59:54 ;0;0;0;0;
10.04  11:13:30 ;0;0;0;0;
10.04  11:41:30 ;0;0;0;0;
16.04  08:56:08 ;0;0;0;0;
