27.03  14:23:21 ;0;0;0;0;
27.03  14:30:21 ;0;0;0;0;
27.03  14:37:21 ;0;0;0;0;
27.03  14:44:21 ;0;0;0;0;
27.03  14:51:21 ;0;0;0;0;
27.03  14:58:21 ;0;0;0;0;
27.03  15:05:21 ;0;0;0;0;
27.03  15:12:21 ;0;0;0;0;
27.03  15:19:21 ;0;0;0;0;
27.03  15:26:21 ;0;0;0;0;
27.03  15:33:21 ;0;0;0;0;
27.03  15:40:21 ;0;0;0;0;
27.03  15:47:21 ;0;0;0;0;
27.03  15:54:21 ;0;0;0;0;
27.03  16:01:21 ;0;0;0;0;
27.03  16:08:21 ;0;0;0;0;
27.03  16:15:21 ;0;0;0;0;
27.03  16:22:21 ;0;0;0;0;
27.03  16:29:21 ;0;0;0;0;
27.03  16:36:21 ;0;0;0;0;
27.03  16:43:21 ;0;0;0;0;
27.03  16:50:21 ;0;0;0;0;
27.03  16:57:21 ;0;0;0;0;
27.03  17:04:21 ;0;0;0;0;
27.03  17:11:21 ;0;0;0;0;
27.03  17:18:21 ;0;0;0;0;
27.03  17:25:21 ;0;0;0;0;
27.03  17:32:21 ;0;0;0;0;
30.03  11:47:32 ;0;0;0;0;
